dataset,score_cutoff,items,tp,fp,tn,fn,fnr,fpr,accuracy,precision,recall,f1,kappa
test,,560,183,116,253,8,0.042,0.314,0.779,0.612,0.958,0.747,0.566
test-random,,280,19,30,225,6,0.240,0.118,0.871,0.388,0.760,0.514,0.448
test-matches,,280,164,86,28,2,0.012,0.754,0.686,0.656,0.988,0.788,0.264
